About,Über,
Apps,Apps,
Frappe Support,Frappe Support,
Keyboard Shortcuts,Tastaturkürzel,
Log out,Abmelden,
My Profile,Mein Profil,
My Settings,Meine Einstellungen,
Reload,Neu laden,
Session Defaults,Sitzungsstandards,
Toggle Full Width,Breite wechseln,
Toggle Theme,Theme wechseln,
View Website,Webseite anzeigen,
